month,<56,56-66,67-76,77+
1,121,24,4,2
2,52,9,4,0
3,59,11,4,0
4,43,10,4,1
5,33,3,2,0
6,30,11,0,0
7,22,3,1,0
8,19,6,1,0
9,22,1,1,0
10,18,4,0,1
11,14,3,0,0
12,14,3,0,0
13,7,3,1,0
14,10,3,1,0
15,6,2,0,0
16,4,1,0,0
17,13,1,0,0
18,3,0,1,0
19,7,1,0,0
20,2,0,0,0
21,3,0,1,0
22,5,1,0,0
23,5,1,0,0
24,3,1,1,0
25,4,2,1,0
26,2,0,1,0
27,1,2,0,0
28,0,0,0,0
29,3,2,0,0
30,3,1,0,0
31,1,3,0,0
32,2,1,0,0
33,1,0,0,0
34,1,0,0,0
35,2,1,0,0
36,1,0,0,0
37,1,0,0,0
38,3,0,0,0
39,0,0,0,0
40,0,0,0,0
41,1,0,0,0
42,1,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,1,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,2,0,0,0
52,1,1,0,0
53,0,0,0,0
54,1,0,0,0
55,1,0,0,0
56,0,0,0,0
57,2,0,0,0
58,2,0,0,0
59,0,0,0,0
60,0,0,0,0
61,1,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,1,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,1,0,0,0
78,0,0,0,0
79,0,0,0,0
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,0,0,0,0
85,0,0,0,0
86,0,0,0,0
87,0,0,0,0
88,0,0,0,0
89,0,0,0,0
90,0,0,0,0
91,0,0,0,0
92,0,0,0,0
93,0,0,0,0
94,0,0,0,0
95,0,0,0,0
96,1,0,0,0
97,0,0,0,0
98,0,0,0,0
99,0,0,0,0
100,0,0,0,0
101,0,0,0,0
102,0,0,0,0
103,0,0,0,0
104,0,0,0,0
105,0,0,0,0
106,1,0,0,0
107,0,0,0,0
108,0,0,0,0
109,0,0,0,0
110,0,0,0,0
111,0,0,0,0
112,0,1,0,0
